name,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,SNR,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,p_astro_BBH,p_astro_BNS,p_astro_NSBH,pipeline
GW190805_211137,46.2,-11.2,15.4,30.6,-11.3,11.8,8.1,-0.7,0.5,6130.0,-3080.0,3720.0,0.37,-0.39,0.29,76.7,-13.8,19.5,31.9,-6.3,8.8,0.92,-0.4,0.43,0.63,0.95372,0.95372,0.,0.,
GW190814,23.3,-1.4,1.4,2.6,-0.1,0.1,25.3,-0.2,0.1,230.0,-50.0,40.0,0.0,-0.07,0.07,25.9,-1.3,1.3,6.11,-0.05,0.06,0.05,-0.01,0.01,1.0e-05,1.0,0.54,0.,0.46,PyCBC
GW190828_063405,31.9,-4.1,5.4,25.8,-5.3,4.9,16.5,-0.3,0.2,2070.0,-920.0,650.0,0.15,-0.16,0.15,57.2,-4.3,7.9,24.6,-2.0,3.6,0.38,-0.15,0.1,1.0e-05,1.0,1.0,0.,0.,
GW190828_065509,23.7,-6.7,6.8,10.4,-2.2,3.8,10.2,-0.5,0.4,1540.0,-650.0,690.0,0.05,-0.17,0.16,34.3,-4.3,5.2,13.4,-1.0,1.4,0.29,-0.11,0.11,3.5e-05,0.99998,0.99998,0.,0.,
GW190910_112807,43.8,-6.8,7.6,34.2,-7.3,6.6,14.5,-0.3,0.2,1520.0,-630.0,1090.0,0.0,-0.2,0.17,78.0,-9.1,9.3,33.5,-4.1,4.2,0.29,-0.11,0.17,0.0029,0.99669,0.99669,0.,0.,
GW190915_235702,32.6,-4.9,8.8,24.5,-5.8,4.9,13.1,-0.3,0.2,1750.0,-650.0,710.0,-0.03,-0.24,0.19,57.2,-5.3,7.1,24.4,-2.3,3.0,0.32,-0.11,0.11,1.0e-05,1.0,1.0,0.,0.,
GW190916_200658,43.8,-12.6,19.9,23.3,-10.0,12.5,8.1,-0.5,0.3,4940.0,-2380.0,3710.0,0.2,-0.31,0.33,68.0,-13.1,18.3,26.9,-5.4,8.2,0.77,-0.32,0.45,4.7,0.65727,0.65727,0.,0.,
GW190917_114630,9.7,-3.9,3.4,2.1,-0.4,1.1,8.3,-0.8,0.5,720.0,-310.0,300.0,-0.08,-0.43,0.21,11.8,-2.8,3.0,3.7,-0.2,0.2,0.15,-0.06,0.05,0.66,0.76643,0.76643,0.,0.,
GW190924_021846,8.8,-1.8,4.3,5.1,-1.5,1.2,12.0,-0.4,0.3,550.0,-220.0,220.0,0.03,-0.08,0.2,13.9,-0.9,2.8,5.8,-0.2,0.2,0.11,-0.04,0.04,1.0e-05,1.0,0.44,0.,0.56,PyCBC
GW190925_232845,20.8,-2.9,6.5,15.5,-3.6,2.5,9.7,-0.6,0.3,930.0,-350.0,460.0,0.09,-0.15,0.16,36.7,-2.8,3.6,15.6,-1.1,1.1,0.19,-0.07,0.08,0.0072,0.98849,0.98849,0.,0.,
GW190926_050336,41.1,-12.5,20.8,20.4,-8.2,11.4,8.1,-0.8,0.6,3280.0,-1730.0,3400.0,-0.02,-0.32,0.25,61.9,-12.0,22.7,24.4,-4.9,9.0,0.55,-0.26,0.44,1.1,0.54334,0.54334,0.,0.,
GW190929_012149,66.3,-16.6,21.6,26.8,-10.6,14.7,9.7,-0.6,0.4,3130.0,-1370.0,2510.0,-0.03,-0.28,0.23,93.3,-15.0,23.3,35.6,-7.4,10.2,0.53,-0.2,0.33,0.16,0.87042,0.87042,0.,0.,
GW190930_133541,14.2,-4.0,8.0,6.9,-2.1,2.4,9.7,-0.5,0.3,770.0,-320.0,320.0,0.19,-0.16,0.22,21.2,-2.0,5.9,8.5,-0.4,0.5,0.16,-0.06,0.06,0.012,1.0,0.93,0.07,0.,PyCBC
