z	mrd_sf	mrd_df	mr_df
8.4300 	 129.7881 	 13.7633 	 4072.6359 
8.4500 	 128.9691 	 13.6475 	 4030.3418 
8.4700 	 128.5272 	 13.5720 	 4000.0896 
8.4900 	 128.0019 	 13.4881 	 3967.4579 
8.5100 	 127.4374 	 13.4004 	 3933.8457 
8.5300 	 126.8173 	 13.3072 	 3898.7528 
8.5500 	 126.2321 	 13.2180 	 3864.9780 
8.5700 	 125.6961 	 13.1344 	 3832.9396 
8.5900 	 125.1245 	 13.0474 	 3800.0397 
8.6100 	 124.3460 	 12.9392 	 3761.1116 
8.6300 	 123.9221 	 12.8683 	 3733.1423 
8.6500 	 123.4911 	 12.7970 	 3705.1487 
8.6700 	 122.6661 	 12.6852 	 3665.5680 
8.6900 	 122.1918 	 12.6101 	 3636.7096 
8.7100 	 121.7465 	 12.5383 	 3608.9083 
8.7300 	 120.9991 	 12.4357 	 3572.3730 
8.7500 	 120.5904 	 12.3682 	 3546.0578 
8.7700 	 119.8818 	 12.2704 	 3511.1334 
8.7900 	 119.3200 	 12.1879 	 3480.7340 
8.8100 	 118.8455 	 12.1147 	 3453.0837 
8.8300 	 118.2339 	 12.0279 	 3421.6501 
8.8500 	 117.8403 	 11.9635 	 3396.7168 
8.8700 	 117.1643 	 11.8708 	 3363.8439 
8.8900 	 116.6356 	 11.7933 	 3335.4106 
8.9100 	 116.1790 	 11.7234 	 3309.2207 
8.9300 	 115.4897 	 11.6304 	 3276.6082 
8.9500 	 115.1482 	 11.5727 	 3254.0499 
8.9700 	 114.4533 	 11.4798 	 3221.6881 
8.9900 	 113.9781 	 11.4092 	 3195.7125 
9.0100 	 113.4046 	 11.3291 	 3167.1676 
9.0300 	 112.8698 	 11.2532 	 3139.8901 
9.0500 	 112.4479 	 11.1888 	 3115.9254 
9.0700 	 111.9049 	 11.1127 	 3088.7782 
9.0900 	 111.3781 	 11.0385 	 3062.2594 
9.1100 	 110.7796 	 10.9574 	 3033.9533 
9.1300 	 110.3057 	 10.8890 	 3009.2395 
9.1500 	 109.7431 	 10.8121 	 2982.2805 
9.1700 	 109.2885 	 10.7462 	 2958.4273 
9.1900 	 108.8147 	 10.6786 	 2934.2111 
9.2100 	 108.2796 	 10.6053 	 2908.5119 
9.2300 	 107.7520 	 10.5329 	 2883.1837 
9.2500 	 107.1227 	 10.4510 	 2855.3139 
9.2700 	 106.6851 	 10.3880 	 2832.7228 
9.2900 	 106.2225 	 10.3229 	 2809.6198 
9.3100 	 105.5830 	 10.2408 	 2782.0064 
9.3300 	 105.2224 	 10.1861 	 2761.8999 
9.3500 	 104.5974 	 10.1060 	 2735.0124 
9.3700 	 104.1153 	 10.0400 	 2712.0242 
9.3900 	 103.6760 	 9.9784 	 2690.3007 
9.4100 	 103.1473 	 9.9085 	 2666.4068 
9.4300 	 102.5940 	 9.8364 	 2642.0357 
9.4500 	 102.0726 	 9.7677 	 2618.6484 
9.4700 	 101.5631 	 9.7004 	 2595.7184 
9.4900 	 101.1707 	 9.6445 	 2575.9190 
9.5100 	 100.6982 	 9.5812 	 2554.2170 
9.5300 	 100.1993 	 9.5156 	 2531.9882 
9.5500 	 99.6303 	 9.4436 	 2508.1410 
9.5700 	 99.2500 	 9.3898 	 2489.1831 
9.5900 	 98.6025 	 9.3109 	 2463.6724 
9.6100 	 98.3033 	 9.2652 	 2447.0007 
9.6300 	 97.6893 	 9.1900 	 2422.6265 
9.6500 	 97.2770 	 9.1340 	 2403.3968 
9.6700 	 96.8082 	 9.0729 	 2382.8989 
9.6900 	 96.2862 	 9.0071 	 2361.2292 
9.7100 	 95.8951 	 8.9538 	 2342.8987 
9.7300 	 95.3080 	 8.8824 	 2319.9157 
9.7500 	 94.8682 	 8.8250 	 2300.6564 
9.7700 	 94.4092 	 8.7659 	 2281.0536 
9.7900 	 94.0227 	 8.7139 	 2263.3240 
9.8100 	 93.5636 	 8.6553 	 2243.9664 
9.8300 	 93.0167 	 8.5888 	 2222.6345 
9.8500 	 92.6356 	 8.5378 	 2205.3866 
9.8700 	 92.1611 	 8.4785 	 2186.0353 
9.8900 	 91.6692 	 8.4177 	 2166.3936 
9.9100 	 91.2128 	 8.3605 	 2147.7172 
9.9300 	 90.6207 	 8.2910 	 2125.9745 
9.9500 	 90.3391 	 8.2501 	 2111.6329 
